Notes,Keywords/Phrases,Category
 tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results before tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed mbit down speed mbit ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end jumpered ok fibre e left dis due to copper job ncf d synced ok at cab line working in cab marc docherty dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments is current working on si part trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 si task tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ok cpi tone applied ok end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end circuit test results before tfgh mfl ok ltok all sockets unplugged end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
ends ran jumpers for fttc min closeout pass line to customer not fully provided as further work required from dig and aux so no modem in sync tfgh to last poi before house ltok circuit id tfgh job f l line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
 colin bell dn confirmed on eside dial tone present jumpered to copper eside dside fibre ports eside dside stcb checked for defects and stcb floor cleaned before results tfgh mfl ce start faulting at end customer dp dis in network end second test tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end after results tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end copper job not complete no dside to connect to left jumper in dside if fibre circuit test results before tfgh mfl ok gea service t ,gea service test completed and no fault found,fibre completed copper pending
 notes engineer unable to complete as copper dside unproven sim provide copper order returned as sale quary jumpered as pr task tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end ,gea service test completed and no fault found,fibre completed copper pending
 steve garner tests all ok ducts ok floor cleaned part of copper sim returned circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok ltok end user equipment detected cidt not completed t end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 cab work completed hoist needed so no d side but tagged in cab fast test ok tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after diss up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments called tech went to voicemail left message tech can still complete si side of sim provision tech notes no way off getting cable from basement eq to second floor comms cabinet trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 linetested ok tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end circuit test results before tfgh ,gea service test completed and no fault found,fibre completed copper pending
 si task tfgh mfl n a no copper test result expected for this test request end tfgh mfl dt test system busy please wait minutes before retesting if second test fails check lts fault tracker nemo nat bt com before reporting by text to starting message linetest and including circuit number job number and test system busy end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl n a no copper test result expected for this test request end circuit test results before tfgh mfl n a no copper test result expected for this test request end circuit test results after tfgh mfl n a no copper test result expected for this test request end up speed ,gea service test completed and no fault found,fibre completed copper pending
ends service provided at original nte a location customer is waiting for a pole to be put up in garden working at the fitting before the pole test results dn tfgh result ltok all sockets unplugged date today jin j eng pin mycys eng uin xxxxxxxxx,service provided at original nte a location,fibre completed copper pending
ends sync and dial tone confirmed on fibre e side line jumpered to fibre gea service test completed ltok in sync circuit id tfgh job f n line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
 no access to line plant circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end up speed tfgh mfl ok gea service test completed and no fault found down down speed tfgh mfl ok gea service test completed and no fault found down ,gea service test completed and no fault found,fibre completed copper pending
 stcb jumper only and test dial tone and sync present tfgh mfl ok ltok all sockets unplugged cidt not completed t end tfgh mfl ok ltok not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results before tfgh mfl ok ltok all sockets unplugged cidt not completed t end tfgh mfl ok ltok not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end og ,gea service test completed and no fault found,fibre completed copper pending
 associated copper task not completed diss in network before and after jumpering to fibre jumpered to fibre routing the same got dial tone and sync all successful tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl n a no copper test result expected for this test request end circuit test results before tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl n a no copper test result expected for this test request end circuit test results after tfgh mfl dt test failure invalid tan test once more and if you get the same failure check lts fault tracker nemo nat bt com before reporting by text to starting message linetest and including cir ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok gea service test completed and no fault found end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok gea service test completed and no fault found end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments from to via tm r k from to due to de route via tm r k trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ex pstn fault in exchange or on mdf out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok potential hr joint detected on gea service down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments kg kg email request by mark sanders trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes fibre complete to to eside only as copper part is ncf on activity tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments closing down in mins trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends circuit id tfgh job f j line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
ends fttc jumpering completed vdsl closeout test passed at stcb dial tone confirmed on fibre e side tfgh test out of sync as linked provision task not completed yet as unable to access dp circuit id tfgh job f n line test type fttc provision request time result summary no copper test result expected for this test request mfl test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tech reece southall whole job completed to fttc routing specs k tfgh mfl ok ltok all sockets unplugged end k tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments closing now tech phone going to vm text message sent to call into controls trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 jumpered in cab ltok e and d fibre now waiting on copper job pyb customer readiness tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end circuit test results before ltok circuit test results after loop up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
ends rang ahead but no answer called again once job was complete creased fibre ports ran jumpers from copper to fibre updated routing via phone myjobs confirmed my ports with cpi tone dial tone confirmed with correct number min vdsl passed tfgh test results circuit id tfgh job f n line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s prove it submitted ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson mr na doorcolor questions closurenotes tfgh mfl ok ltok all sockets unplugged end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl ok ltok all sockets unplugged end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends all cab jumpering completed and tfgh passed and min close out passed checklist submitted install at house outstanding and lift and shift carried out ,ogea pas,fibre completed copper pending
ends smadm rara ltok on arrival located copper and fibre ports confirmed tfgh and ran copper to fibre dt present at fibre ran vdsl close out passed circuit id tfgh job f l line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
ends called ahead and spoke to customer izzeldin at stcb have dt jumpered fibre as per routing min test ok tfgh ft ok u bps d bps ,ft ok,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes customer wasn t home cab jump only e side tagged in cabinet o tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end o tfgh mfl ok ltok customer equipment detected end job comp dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson mr ray doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
pre test dis in dp dis was at cab no dside customer not answering contact number visited the address no answer circuit id tfgh job f j line test type fttc provision request time result summary no copper test result expected for this test request mfl test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
 sync and dial tone test at stcb comfirmed tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results before tfgh mfl ok ltok all sockets unplugged cidt not completed t end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end circuit test results after tfgh mfl ce start faulting at stcb dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end up speed na down speed na ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends arrived at stcb ceased line returned to copper only jumper run from copper e to fibre d in sync and in speeds at stcb copper provide furthered to dig and auxiliary so line tagged at fibre e side tfgh passed dt vdsl and ltok at stcb ,tfgh passed dt vdsl and ltok at stcb copper provide furthered to dig and auxiliary,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok customer equipment detected please unplug all customer equipment and re test end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 copper side of job not complete but all pushed through existing details and tagged in stcb cab only install complete eclipse test complete tfgh mfl ce start faulting at end customer dp dis in network end ein xxxxxxxxx timothy cotterill xxxxxxxxxx test and demonstrated circuit test results before tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on end circuit test results after tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end up speed down speed ,copper side of job not complete stcb jumpering or tie pair problem found in the stcb gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes i tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end j dis due to incomplete copper circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes all tests completed in line with the compliance all jumpering done as per task details mike mills tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 copper to fibre upgraded circuit test results before tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed mbit down speed mbit ,gea service test completed and no fault found,fibre completed copper pending
 stcb jumper only and test dial tone and sync present tfgh mfl ok cidt ltok t end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results before tfgh mfl ok cidt ltok t end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem ,gea service test completed and no fault found,fibre completed copper pending
 stcb jumpering completed circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on end tfgh mfl ce start faulting at end customer dp dis in network end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh ,gea service test completed and no fault found,fibre completed copper pending
 sync and dial tone proven through d slam and jumpered as per quoted cabinet free of defects and bottom of cab cleaned stephen uveges tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok potential rf issue detected on gea service down mbit s up mbit s in sync on rf ingress yes end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found out of sync last in s ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes m tfgh mfl n a no copper test result expected for this test request end m tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments closing job in the next as per tm lo trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 jumpered in stcb tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results before tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed mbits ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ce start faulting at stcb dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends fibre jumpering complete steps followed dial tone confirmed through fibre ports minute close down test complete line test ok proveit si checklist submitted circuit id tfgh job f m line test type fttc provision request time result summary ltok customer equipment detected mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer can use the service the work outstanding is fibre work please see additional information fibre in incorrect stcb hoist and senior engineer required to complete job ,have run out of time within my scheduled hours,reappointment needed out of time
 i cannot complete this task because i have run out of time within my scheduled hours the end customer cannot use the service the work outstanding is installation required no manually entered closure notes ,the end customer cannot use the service the work outstanding is installation required ,reappointment needed out of time
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer can use the service the work outstanding is please see additional information arrived at stcb and no dial tone through fibre ports cpi tone confirmed and shorting out no dial tone possibly to do with active sim provide line good to stcb as attached nte through fibre ports and ltok unable to pick tone up in eq but out of time as absence in from to pick team up from garage at line good to stcb through nte getting ltok unbalanced cable pair fault on d side ,have run out of time within my scheduled hours,reappointment needed out of time
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer can use the service the work outstanding is failed pqt resistance test no far end strap detected both line and internet working mb down mb up please see additional information pq test failed as per notes no far end strap detected error cap balance nte to cab passed good ,have run out of time within my scheduled hours,reappointment needed out of time
ends i cannot complete this task because the job was allocated past my end of day please see additional information off sick ,the job was allocated past my end of day,reappointment needed out of time
ends i cannot complete this task because i do not have the skills required to complete the task and could not obtain assistance on the day i am passing to an engineer with overhead skills to complete the order and no appointment required please see additional information physical visit needed for survey to determine best place for a carrier pole to be fitted due to line of site issues and length of span to quoted eq xxxxxxxxxx ring ahead information primary eu contact name xxxxxxxxxxxx primary contact no xxxxxxxxxxx what was the outcome of the call no answer vm left if available call date time secondary contact details what was the outcome of the call to secondary contact no not able to ring ahead due to unusable contact details missing incorrect faulty line ring ahead information ends i cannot complete this task because i have run out of time within my scheduled hours the end customer cannot use the service the work outstanding is installation required no manually entered closure notes ,have run out of time within my scheduled hours passing to an engineer with overhead skills to complete the order and no appointment required ,reappointment needed out of time
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer cannot use the service the work outstanding is no access on link provide no manually entered closure notes ,have run out of time within my scheduled hours,reappointment needed out of time
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer cannot use the service the work outstanding is fibre for sim provide customer called to cancel and will call cp no manually entered closure notes ,have run out of time within my scheduled hours,reappointment needed out of time
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer can use the service the work outstanding is stcb jumpering not done no cpi in stcb and no dial tone on ports no manually entered closure notes xxxxxxxxxxxxxx ring ahead information primary eu contact name xxxxxxxxxxxxxx primary contact no xxxxxxxxxxxxxxx what was the outcome of the call no answer vm left if available call date time secondary contact details what was the outcome of the call to secondary contact no not able to ring ahead due to unusable contact details missing incorrect faulty line ring ahead information ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information eq node id from to eq node e side termination from to stcb node d side termination from to stcb node id from to stcb node e side termination from to mdf node d side sub node from e to aj termination from to new routing fibre ordered through stcb but needs to be through stcb ,have run out of time within my scheduled hours,reappointment needed out of time
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with and am passing to the dcoe to be resolved please see additional information new ports are not available to use yet as they are in a new stcb shell a few meters up the road from existing stcb waiting for the existing stcb to be changed out into the new shell until this is done we have no way of using the new ports llums ref afie ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with and am passing to the dcoe to be resolved please see additional information dcoe have stated that card is faulty and lums ref has already been raised af ie no spares for lift and shift patch lead advised ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with none givenand am passing to the dcoe to be resolved please see additional information lums case ref af ie unable to find spare ports to get customer in service every port given to me where workers and vdsl helpdesk unable to see it in sync there end sending back with lums case ref as routing does not seem to be correct in cab ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with xxxxxxxxx and am passing to the dcoe to be resolved please see additional information lumms case raised due to faulty fibre ports reference af ti ports are not routed correctly so i m not able to find the port dcoe have issued tone being put down my port is for example and i m getting sync on that port and dcoe can t see it in sync ,the allocated ports are unavailable or faulty,dslam capacity issue
ends photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with x and am passing to the dcoe to be resolved please see additional information fttc not complete tfgh incorrect on quoted fibre e d phoned dcoe to try for lift and shift but they were unable to provide one see previous job notes as llums case reference open due to no spares and faulty ports ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with india and am passing to the dcoe to be resolved please see additional information spoke to helpdesk no spare ports lumms case afie refers ports do not exist last port is wilson fraser xxxxxxxxxxx see previous notes ,the allocated ports are unavailable or faulty,dslam capacity issue
ends photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with n a and am passing to the dcoe to be resolved please see additional information same problem as previous engineer and been given investigation reference afie as well as the date of september ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with and am passing to the dcoe to be resolved please see additional information faulty fibre ports afti ltok ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with mohona and am passing to the dcoe to be resolved please see additional information spoken with dcoe name mohona cab has multiple d slam issues and a lam has been raised and expected date of repair is lam number afie ,the allocated ports are unavailable or faulty,dslam capacity issue
 notes all jumpering completed called dcoe as had no dial tone on fibre ports no spare ports available dcoe reference number af ti uin xxxxxxxxx ,no spare ports available,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with xxxxxxxx and am passing to the dcoe to be resolved please see additional information xxxxxxx uin of dcoe staff member no working fibre ports ref number af ie ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with na and am passing to the dcoe to be resolved please see additional information card has no working ports on it i checked a lot of them with the dcoe llum no s afti pstn ltok circuit id job wtwn cqb line test type pstn repair request time result summary ltok customer equipment detected mfl ok test reference tfgh result summary not known tfgh mfl not known tfgh uprate not known tfgh downrate not known ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with na and am passing to the dcoe to be resolved please see additional information fibre ports not achieving speeds at stcb dcoe have said that is only available port so llums case has been raised ref afti dcoe uin xxxxxxxxx also loop fault on line which was due to internal wiring which i have fixed i have also changed the socket and proven sync with my jdsu as customer did not have router available close out complete and prove it submitted test results dn tfgh result ltok cidt not completed and no adsl modem detected t date today jin n eng pin easzh eng uin xxxxxxxxx,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with rajatand am passing to the dcoe to be resolved please see additional information no fttc ports available and quoted one don t exists incident out for stcb ref af ie ,the allocated ports are unavailable or faulty,dslam capacity issue
ends photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with darrenand am passing to the dcoe to be resolved please see additional information no spare fibre ports at the stcb my line is in sync but testing dis one leg suspect in the dslam cab advised to pass back ,the allocated ports are unavailable or faulty,dslam capacity issue
 notes no sync on allocated ports and no spare ports available lum incident no af ie ,no spare ports available,dslam capacity issue
 notes david coull photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with unknown and am passing to the dcoe to be resolved please see additional information unable to complete job as issue with lift and shift after two attempts we still had no sync no dial at llut either line was still connected to engineering number tfgh was testing dis in exchange i ve ran new killers though tams and pqt passed at stcb job needs sent back out once lift and shift system is back up and running fast test lrok on completion ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task because there is no sync at stcb and a d side underground skilled engineer is required see previous notes from engineer the test towards the end customer was inconclusive please see additional information please see previous notes from engineer no spare ports available rang dcoe to confirm and they advised no spare ports and they will raise a lums case ref is afie spoke to shruti ,no spare ports available,dslam capacity issue
